Updated On,Total Doses Administered
25/02/2021,7763.0
26/02/2021,7989.0
27/02/2021,7989.0
28/02/2021,7989.0
01/03/2021,7989.0
02/03/2021,8724.0
03/03/2021,8837.0
04/03/2021,9361.0
05/03/2021,9897.0
06/03/2021,10498.0
07/03/2021,11101.0
08/03/2021,12004.0
09/03/2021,9932.0
10/03/2021,10161.0
11/03/2021,10704.0
12/03/2021,11321.0
13/03/2021,11638.0
14/03/2021,11693.0
15/03/2021,12045.0
16/03/2021,14826.0
17/03/2021,15489.0
18/03/2021,16131.0
19/03/2021,16612.0
20/03/2021,17451.0
21/03/2021,17478.0
22/03/2021,18085.0
23/03/2021,19121.0
24/03/2021,19693.0
25/03/2021,20318.0
26/03/2021,20789.0
27/03/2021,21356.0
28/03/2021,21358.0
29/03/2021,21357.0
30/03/2021,21840.0
31/03/2021,21938.0
01/04/2021,22608.0
02/04/2021,22738.0
03/04/2021,23221.0
04/04/2021,23901.0
05/04/2021,24774.0
06/04/2021,25766.0
07/04/2021,27978.0
08/04/2021,30766.0
09/04/2021,33217.0
10/04/2021,35433.0
11/04/2021,37624.0
12/04/2021,42285.0
13/04/2021,48845.0
14/04/2021,55595.0
15/04/2021,60857.0
16/04/2021,67662.0
17/04/2021,74019.0
18/04/2021,78153.0
19/04/2021,83028.0
20/04/2021,86910.0
21/04/2021,89072.0
22/04/2021,91833.0
23/04/2021,94166.0
24/04/2021,96093.0
25/04/2021,97392.0
26/04/2021,99109.0
27/04/2021,100571.0
28/04/2021,101770.0
29/04/2021,102998.0
30/04/2021,104374.0
01/05/2021,105090.0
02/05/2021,105285.0
03/05/2021,106250.0
04/05/2021,107018.0
05/05/2021,107955.0
06/05/2021,109060.0
07/05/2021,110161.0
08/05/2021,111168.0
09/05/2021,111285.0
10/05/2021,112403.0
11/05/2021,113019.0
12/05/2021,113622.0
13/05/2021,114400.0
14/05/2021,114498.0
15/05/2021,115188.0
16/05/2021,115188.0
17/05/2021,115627.0
18/05/2021,115911.0
19/05/2021,116427.0
20/05/2021,117180.0
21/05/2021,117950.0
22/05/2021,118761.0
23/05/2021,119144.0
24/05/2021,119595.0
25/05/2021,120282.0
26/05/2021,121091.0
27/05/2021,121709.0
28/05/2021,122466.0
29/05/2021,123483.0
30/05/2021,123725.0
31/05/2021,124268.0
01/06/2021,125007.0
02/06/2021,125514.0
